R,Vobs,Vgas,Vdisk,Vbulge
1.33,175.0,0.0,53.18,236.8
2.34,237.0,0.0,84.9,258.48
3.33,247.0,0.0,110.89,258.69
4.34,242.0,0.0,133.39,255.32
5.35,240.0,0.11,152.34,247.96
6.34,233.0,0.0,168.35,242.98
7.34,233.0,0.0,182.51,235.83
8.32,247.0,1.96,192.78,226.67
9.34,248.0,15.34,198.8,216.7
10.38,242.0,25.14,207.14,206.98
11.36,252.0,33.65,211.69,198.54
12.34,245.0,41.56,213.57,190.81
13.32,247.0,48.79,217.57,183.83
14.3,238.0,54.63,223.69,177.48
15.47,249.0,60.46,231.69,170.69
16.35,250.0,63.83,234.56,166.06
17.92,253.0,68.08,238.09,158.63
19.1,258.0,69.27,241.54,153.66
22.52,254.0,67.69,240.74,141.52
26.05,256.0,66.4,225.1,131.58
29.48,255.0,63.14,208.87,123.68
33.0,244.0,61.55,195.11,116.89
36.43,246.0,65.91,185.57,111.25
