R,Vobs,Vgas,Vdisk,Vbulge
0.62,35.1,0.82,71.2,0.0
1.23,64.6,1.0,112.64,0.0
1.83,80.1,2.09,139.71,0.0
2.47,113.0,3.39,159.08,0.0
3.08,136.0,2.17,171.23,0.0
3.68,150.0,0.18,180.9,0.0
4.32,171.0,0.0,190.21,0.0
4.91,192.0,0.2,198.61,0.0
5.53,197.0,0.2,213.09,0.0
6.17,195.0,0.0,230.24,0.0
6.78,196.0,0.58,253.17,0.0
7.38,216.0,2.58,275.53,0.0
8.0,225.0,0.0,287.96,0.0
8.62,240.0,0.0,290.86,0.0
9.23,247.0,7.92,295.63,0.0
9.85,254.0,16.06,302.1,0.0
10.43,257.0,21.24,307.81,0.0
11.05,273.0,23.48,312.49,0.0
11.67,272.0,24.19,316.07,0.0
12.19,270.0,23.78,319.44,0.0
12.91,279.0,22.46,323.2,0.0
14.56,287.0,23.48,326.62,0.0
16.63,291.0,24.49,316.26,0.0
17.77,286.0,24.49,310.12,0.0
18.49,288.0,26.12,307.21,0.0
20.24,289.0,41.26,301.54,0.0
22.62,288.0,55.9,294.39,0.0
24.89,269.0,53.66,286.32,0.0
27.06,267.0,52.14,273.02,0.0
29.13,272.0,47.05,261.41,0.0
31.3,274.0,45.53,250.43,0.0
33.46,259.0,50.92,239.85,0.0
35.53,272.0,49.39,229.51,0.0
37.7,274.0,46.04,219.93,0.0
39.87,272.0,49.19,212.13,0.0
41.93,266.0,49.09,205.47,0.0
