R,Vobs,Vgas,Vdisk,Vbulge
0.12,6.48,-0.66,2.2,0.0
0.19,8.6,0.47,2.24,0.0
0.26,10.2,1.82,2.72,0.0
0.33,11.7,3.08,2.9,0.0
0.4,12.7,4.2,2.92,0.0
0.47,14.1,5.32,3.03,0.0
0.55,16.0,6.65,3.44,0.0
0.62,18.1,7.97,3.69,0.0
0.69,21.2,9.25,3.81,0.0
0.76,21.6,10.36,3.95,0.0
0.83,23.3,11.58,4.15,0.0
0.9,24.5,12.39,4.32,0.0
0.97,24.4,13.1,4.46,0.0
1.04,25.3,13.71,4.57,0.0
1.11,25.4,14.22,4.69,0.0
1.19,25.9,14.63,4.81,0.0
1.26,26.7,14.83,4.88,0.0
1.33,27.1,15.03,4.95,0.0
1.4,28.6,15.13,5.03,0.0
1.48,28.9,15.24,5.09,0.0
1.55,30.4,15.34,5.13,0.0
1.62,30.8,15.54,5.17,0.0
1.69,30.5,15.54,5.21,0.0
1.75,33.0,15.54,5.22,0.0
1.83,32.1,15.64,5.25,0.0
1.9,32.9,15.64,5.28,0.0
1.97,34.2,15.64,5.3,0.0
2.04,32.6,15.64,5.31,0.0
2.11,33.7,15.74,5.33,0.0
2.19,33.8,15.64,5.35,0.0
2.26,34.9,15.64,5.36,0.0
2.33,36.1,15.64,5.39,0.0
2.4,37.2,15.24,5.42,0.0
2.48,37.6,14.73,5.5,0.0
2.55,35.6,14.22,5.46,0.0
2.62,38.3,13.81,5.25,0.0
